Date,Open,High,Low,Close,Adj Close,Volume
2023-04-20,30.760000,31.250000,30.709999,30.860001,30.734144,30255100
2023-04-21,30.840000,30.840000,30.230000,30.299999,30.176426,28655800
2023-04-24,30.129999,30.370001,29.610001,29.660000,29.539036,38732500
2023-04-25,29.440001,29.570000,28.870001,28.879999,28.762217,38289900
2023-04-26,29.200001,29.809999,28.840000,29.049999,28.931524,41218800
2023-04-27,28.750000,29.950001,28.510000,29.860001,29.738222,60186200
2023-04-28,31.980000,32.570000,30.809999,31.059999,30.933327,80229700
2023-05-01,31.110001,31.240000,30.280001,30.299999,30.176426,36918500
2023-05-02,30.299999,30.580000,29.750000,29.770000,29.648588,33463400
2023-05-03,30.639999,31.110001,30.250000,30.650000,30.525000,45554500
2023-05-04,30.440001,31.719999,30.379999,31.240000,31.240000,46104000
2023-05-05,31.379999,31.410000,30.730000,30.990000,30.990000,35010800
2023-05-08,30.700001,30.840000,30.389999,30.770000,30.770000,30882800
2023-05-09,30.379999,30.580000,29.910000,30.100000,30.100000,30706500
2023-05-10,30.290001,30.400000,29.490000,29.969999,29.969999,40526500
2023-05-11,29.600000,29.680000,28.820000,28.860001,28.860001,47144400
2023-05-12,29.030001,29.100000,28.719999,28.950001,28.950001,24147300
2023-05-15,28.900000,29.830000,28.879999,29.799999,29.799999,28717500
2023-05-16,29.620001,29.900000,29.209999,29.219999,29.219999,22812000
2023-05-17,29.520000,29.559999,28.680000,28.870001,28.870001,41667300
2023-05-18,29.000000,29.760000,28.870001,29.680000,29.680000,36529200
2023-05-19,29.600000,30.240000,29.500000,29.930000,29.930000,40668700
2023-05-22,29.850000,30.450001,29.820000,30.280001,30.280001,28693400
2023-05-23,30.049999,30.200001,29.490000,29.510000,29.510000,29400900
2023-05-24,29.309999,29.490000,28.820000,29.000000,29.000000,28045800
2023-05-25,28.290001,28.290001,26.860001,27.400000,27.400000,78009400
2023-05-26,27.440001,29.090000,27.100000,29.000000,29.000000,71910600
2023-05-30,29.700001,30.040001,29.000000,29.990000,29.990000,54874800
2023-05-31,29.700001,32.290001,29.670000,31.440001,31.440001,136243800
2023-06-01,31.799999,31.940001,31.020000,31.129999,31.129999,52667400
2023-06-02,31.400000,31.590000,30.830000,31.309999,31.309999,36496200
2023-06-05,31.309999,31.400000,29.830000,29.860001,29.860001,48244100
2023-06-06,29.770000,31.450001,29.700001,30.959999,30.959999,42295300
2023-06-07,31.030001,31.370001,30.930000,31.280001,31.280001,39067700
2023-06-08,31.430000,31.850000,31.059999,31.645000,31.645000,19890630
